State,State Full Name,Continental US,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,United States,Yes,50463,51405,51874,51315,49577,50428,50840,51603,52191,53080,54208,54660,55515,56749
AL,Alabama,Yes,39692,39922,39776,39273,37416,38087,38562,38687,38954,38479,38885,38977,39600,40279
AK,Alaska,Yes,67549,71845,75135,74018,79894,75852,75683,78957,74283,72265,72652,70947,70956,70936
AZ,Arizona,Yes,45052,45991,46194,44182,40214,40183,40660,40919,40716,40602,40891,41564,42164,43096
AR,Arkansas,Yes,37630,37898,37265,36803,35393,36250,36830,36836,37769,37977,37999,38051,38246,38467
CA,California,Yes,55547,57527,58030,57675,54827,55147,55565,56492,58015,59804,62284,63731,65675,67698
CO,Colorado,Yes,54155,54259,55076,54750,52769,52452,52459,52663,53607,55130,56476,56926,57894,59057
CT,Connecticut,Yes,69144,71524,74031,73252,69639,69140,67452,67828,67062,66084,67433,67468,67121,67784
DE,Delaware,Yes,70962,71569,70244,66363,67738,66715,68353,67719,64048,68297,69720,67127,66506,66023
DC,District of Columbia,Yes,176245,175653,179241,183971,179578,181733,180775,177615,173236,173523,173312,173856,174572,176534
FL,Florida,Yes,45193,45926,45507,43353,40652,40656,40001,39806,40080,40499,41333,41882,42233,43052
GA,Georgia,Yes,49915,49213,48456,46652,44306,44588,44880,44855,45198,46088,47072,48058,48921,49663
HI,Hawaii,Yes,53039,53754,54110,53812,51306,52059,52260,52751,52737,52658,54146,55148,56170,56880
ID,Idaho,Yes,38780,39212,39003,38912,36725,36865,36492,36206,37127,37614,38273,38959,39072,39843
IL,Illinois,Yes,54393,55718,56137,54870,53370,54121,54950,55937,56179,56965,57657,57989,58513,59980
IN,Indiana,Yes,45471,45995,46934,46424,42957,45472,45499,45514,46270,47479,46892,47507,48060,48738
IA,Iowa,Yes,48534,48912,50764,49435,48013,49016,49330,51120,50641,52973,53902,53934,53547,54101
KS,Kansas,Yes,44534,46653,48735,49378,47049,47213,48296,48686,48559,49348,49813,50923,51335,52297
KY,Kentucky,Yes,40358,41082,40376,40130,38224,39567,39853,40193,40726,40719,40822,40920,41215,41659
LA,Louisiana,Yes,53647,56554,53620,53043,53136,54428,51159,50779,49003,49921,49589,48849,48959,49606
ME,Maine,Yes,40653,41001,40693,40527,39910,40505,39971,39824,39531,40141,40351,41091,41659,42356
MD,Maryland,Yes,54716,55387,55204,55560,54946,56530,57254,56874,56542,56848,57536,59133,60091,60886
MA,Massachusetts,Yes,61030,62050,63433,63782,62609,64659,65736,66685,66260,67046,69126,70005,71153,72635
MI,Michigan,Yes,44845,44171,44109,41893,38387,40591,41640,42322,42803,43351,44330,45088,45708,46858
MN,Minnesota,Yes,55101,54608,54388,54468,52157,53638,54367,54737,55532,56534,56787,57504,58235,59057
MS,Mississippi,Yes,32770,33649,34219,35411,33616,33658,33147,33386,33332,33247,33386,33504,33646,34029
MO,Missouri,Yes,45167,45053,44905,45681,44507,44986,44383,44615,45012,45040,45427,44882,45147,46064
MT,Montana,Yes,39439,40340,41856,41132,39978,40924,41589,41849,41866,42169,43400,42477,42158,42173
NE,Nebraska,Yes,50465,51553,52364,52088,51884,53487,55599,55181,56308,57000,57982,57833,57639,58141
NV,Nevada,Yes,57437,57562,55517,52330,47396,47670,47823,46653,46192,45995,47095,47361,47675,48189
NH,New Hampshire,Yes,49562,50402,50054,49408,48970,50458,50644,51126,51870,52110,53263,54041,54810,55744
NJ,New Jersey,Yes,59350,60503,60708,61193,58380,58706,57877,58758,59078,59212,60154,60527,61202,62263
NM,New Mexico,Yes,43382,43774,43471,42760,43042,42141,41899,41964,41335,42649,43473,43468,43465,44187
NY,New York,Yes,61207,62807,62864,61183,63357,65437,65094,67560,67215,68589,69634,70680,71831,73531
NC,North Carolina,Yes,46809,48511,47865,48007,45199,45267,45470,45088,45244,45665,46621,46564,46930,47778
ND,North Dakota,Yes,45051,46598,48509,51941,52699,55871,61218,73233,72757,76357,72426,67279,66099,67308
OH,Ohio,Yes,47433,47136,47077,46651,44169,45158,46667,46831,47579,49157,49689,49987,50658,51456
OK,Oklahoma,Yes,40318,42475,42776,43980,42833,42352,43601,45431,46092,48491,49763,48162,48204,48954
OR,Oregon,Yes,43857,45742,45968,46157,43757,44043,44911,44752,44815,45910,47697,48964,49851,50996
PA,Pennsylvania,Yes,47233,47322,48712,49461,47802,48970,49540,50233,50977,51981,53018,53621,54508,55602
RI,Rhode Island,Yes,48989,50342,49264,47817,47657,48833,48664,48968,49364,49439,50184,50125,50549,50827
SC,South Carolina,Yes,39009,39088,39398,38548,36352,36708,37275,37178,37560,37995,38667,39221,39730,39883
SD,South Dakota,Yes,46303,46561,48075,49608,49230,49169,51966,52123,51767,51938,53009,52642,51832,51997
TN,Tennessee,Yes,44175,44584,43518,43540,41709,41969,42955,43979,44168,44570,45606,46101,46741,47695
TX,Texas,Yes,49732,51811,53470,52481,51264,51568,52397,54097,55573,56060,57844,57025,57373,58417
UT,Utah,Yes,44409,47009,47925,46369,44353,44438,45149,45110,45516,46262,47392,48273,48593,49740
VT,Vermont,Yes,43317,43559,42987,43959,43207,44914,45828,46141,45510,45569,46073,46913,47467,47921
VA,Virginia,Yes,54782,55219,55090,54357,53695,54497,54516,54360,54108,53600,54299,54143,54745,55929
WA,Washington,Yes,54874,55989,58531,58270,55903,56541,56853,58156,59047,60310,61891,63071,64529,67242
WV,West Virginia,Yes,36006,36345,36271,36890,36566,36912,37530,37376,37844,37765,37729,37502,38330,39495
WI,Wisconsin,Yes,47269,47775,47754,46912,45357,46541,47394,47963,48142,48893,49514,49960,50496,51575
WY,Wyoming,Yes,64418,71798,75410,78075,73922,70509,69453,66690,66144,66193,67558,65167,66083,66413
