State,State Full Name,Continental US,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
United States,United States,Unknown,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11
AL,Alabama,Yes,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.14
AK,Alaska,Yes,0.08,0.08,0.08,0.1,0.06,0.09,0.08,0.08,0.07,0.05
AZ,Arizona,Yes,0.12,0.14,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.12
AR,Arkansas,Yes,0.14,0.15,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.15
CA,California,Yes,0.1,0.11,0.12,0.13,0.13,0.14,0.13,0.13,0.11,0.11
CO,Colorado,Yes,0.08,0.08,0.09,0.1,0.1,0.11,0.11,0.11,0.1,0.1
CT,Connecticut,Yes,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.07
DE,Delaware,Yes,0.11,0.09,0.11,0.11,0.1,0.1,0.1,0.1,0.08,0.09
DC,District of Columbia,Yes,0.14,0.16,0.13,0.14,0.15,0.14,0.16,0.16,0.16,0.15
FL,Florida,Yes,0.11,0.12,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.11
GA,Georgia,Yes,0.13,0.13,0.15,0.16,0.16,0.17,0.17,0.16,0.14,0.13
HI,Hawaii,Yes,0.09,0.07,0.08,0.09,0.08,0.09,0.1,0.08,0.08,0.07
ID,Idaho,Yes,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.11
IL,Illinois,Yes,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.12,0.11,0.1
IN,Indiana,Yes,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11
IA,Iowa,Yes,0.08,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09
KS,Kansas,Yes,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1
KY,Kentucky,Yes,0.15,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.16
LA,Louisiana,Yes,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.15
ME,Maine,Yes,0.09,0.11,0.1,0.12,0.1,0.12,0.12,0.11,0.1,0.1
MD,Maryland,Yes,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07
MA,Massachusetts,Yes,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.08,0.08
MI,Michigan,Yes,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.14,0.14,0.12
MN,Minnesota,Yes,0.08,0.07,0.08,0.09,0.09,0.09,0.1,0.09,0.09,0.08
MS,Mississippi,Yes,0.17,0.18,0.19,0.2,0.22,0.22,0.21,0.2,0.2,0.19
MO,Missouri,Yes,0.11,0.11,0.12,0.13,0.14,0.14,0.14,0.13,0.12,0.12
MT,Montana,Yes,0.1,0.11,0.11,0.13,0.14,0.12,0.12,0.12,0.12,0.12
NE,Nebraska,Yes,0.09,0.1,0.1,0.1,0.11,0.09,0.1,0.11,0.09,0.09
NV,Nevada,Yes,0.1,0.11,0.12,0.11,0.12,0.13,0.13,0.12,0.1,0.09
NH,New Hampshire,Yes,0.05,0.05,0.06,0.07,0.06,0.07,0.07,0.06,0.06,0.05
NJ,New Jersey,Yes,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07
NM,New Mexico,Yes,0.17,0.17,0.18,0.18,0.2,0.18,0.18,0.17,0.16,0.14
NY,New York,Yes,0.12,0.12,0.13,0.13,0.14,0.14,0.13,0.13,0.12,0.12
NC,North Carolina,Yes,0.12,0.13,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.13
ND,North Dakota,Yes,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09
OH,Ohio,Yes,0.11,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.11
OK,Oklahoma,Yes,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14
OR,Oregon,Yes,0.1,0.1,0.11,0.12,0.13,0.13,0.13,0.12,0.11,0.11
PA,Pennsylvania,Yes,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.1
RI,Rhode Island,Yes,0.1,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.1
SC,South Carolina,Yes,0.13,0.13,0.14,0.16,0.17,0.16,0.17,0.16,0.15,0.14
SD,South Dakota,Yes,0.1,0.11,0.11,0.13,0.11,0.11,0.11,0.13,0.13,0.11
TN,Tennessee,Yes,0.13,0.13,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.13
TX,Texas,Yes,0.13,0.13,0.13,0.15,0.15,0.16,0.16,0.15,0.15,0.14
UT,Utah,Yes,0.08,0.08,0.09,0.09,0.11,0.1,0.11,0.11,0.09,0.08
VT,Vermont,Yes,0.09,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.07
VA,Virginia,Yes,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09
WA,Washington,Yes,0.08,0.08,0.09,0.1,0.11,0.11,0.11,0.11,0.1,0.09
WV,West Virginia,Yes,0.17,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.15
WI,Wisconsin,Yes,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.1,0.08
WY,Wyoming,Yes,0.1,0.09,0.08,0.09,0.08,0.09,0.08,0.09,0.07,0.08
PR,Puerto Rico,No,0.42,0.42,0.44,0.44,0.44,0.43,0.43,0.42,0.43,0.43
