State,State Full Name,SizeRank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CA,California,1,331354.1667,296987.5,308158.8333,390208.25,418516.6667,440640.6667,479724.9167,500381.4583,527849.1667,533111.25
TX,Texas,2,171324.5833,168918.6667,172219.1667,187101.3333,212438.3333,245033.0833,255709.75,268202.7917,275731.6667,278067.5
NY,New York,3,345016.5833,317552,306182.5,305825,324191.5833,330624.3333,340693.0417,352726.0417,387716.6667,414725
FL,Florida,4,187158.3333,175891.5833,179162.5,198024.1667,215341.6667,236499,259156.6667,279908.75,291312.1667,295975
IL,Illinois,5,204158.3333,176166.6667,159783.3333,164489.5833,180408.3333,192858.3333,202632.3333,215231.25,228915.8333,235975
PA,Pennsylvania,6,186962.5,178566.6667,171979.1667,172991.6667,177750,180691.6667,180399.75,192341.6667,205521.4583,209950
OH,Ohio,7,129175,123733.25,122783.25,124506.25,131191.6667,136029.1667,141320.8333,152181.4167,163604.1667,169950
MI,Michigan,8,122058.3333,110011.5,108195.75,122325,133141.6667,141116.6667,149641.6667,165650,177983.25,178675
GA,Georgia,9,172933.3333,152761.6667,152765.75,173233.5833,184406.4167,194624,211796.75,232963.2917,250514.9167,256897.5
NC,North Carolina,10,197000,187466.6667,182217.9167,192153.75,198055.3333,212520.8333,227766.5833,246175,260150.125,267972.5
NJ,New Jersey,11,325875,295525,280168.8333,281826.4167,289824.9583,295667.6667,300379.1667,302757.3333,320872.4167,326225
VA,Virginia,12,240166.875,230958.3333,230990.7917,241237.5,256782.7083,270550.625,280651.25,293952,304286.6667,306847.5
WA,Washington,13,273058.3333,239009.5833,236966.6667,255928.0833,273311.6667,290845.8333,312245.8333,348058.7083,386900,407913
MA,Massachusetts,14,327983.3333,310904.1667,317625,338033.3333,348766.6667,356058.3333,385591.6667,418345.8333,439900,451200
IN,Indiana,15,129875,128825,125665.8333,128195.1667,134408.0417,138400,143195.8333,163323.3333,179375,183200
AZ,Arizona,16,166470,148883.3333,172225,206183.2917,227223.75,244189.1667,257174.1667,271341.5833,284186.75,290472.5
TN,Tennessee,17,168254.1667,160058.3333,155800.8333,163841.6667,172091.6667,181600,195683.25,221166.6667,240595.25,249200
MO,Missouri,18,147550,140120.8333,136108.3333,137522.8333,143001.6667,147433.3333,155233.3333,167291.6667,178008.3333,183425
MD,Maryland,19,253450,240069.9167,247496.4167,262514.25,273540.8333,273778.5833,285666.6667,302010.875,315279.8333,311725
WI,Wisconsin,20,175691.6667,165883.3333,154858.3333,159225,164258.3333,170958.3333,179800,191304.1667,204091.6667,211800
MN,Minnesota,21,183191.6667,162408.3333,163400,178633.3333,195108.3333,216691.6667,228133.3333,245800,265375,278626.25
CO,Colorado,22,256375,246949.6667,256740.625,275447.5,308772.7917,344225,373600.7083,401741.1667,417371.9167,422260.25
AL,Alabama,23,166733.3333,159908.3333,159531.25,163575,169138.5417,172799.0833,177511.6667,189645.2083,198979.0833,211150
SC,South Carolina,24,183482.4167,171332.0833,169600,176540.9583,188075.625,202634.5417,220502.75,233463.5833,246570,247788.25
LA,Louisiana,25,175150,164783.3333,161358.3333,168925,173304.1667,183282.8333,197541.6667,204673.5,210257.7083,213500
KY,Kentucky,26,148716.6667,144087.9167,141391.6667,139850,146983.3333,155104.1667,159164.1667,170027.6667,182158.3333,188074.75
OR,Oregon,27,246116.6667,226903.3333,223033.3333,248525,261283.3333,280349.9583,313854.125,347407.5,372312.5,377472.5
OK,Oklahoma,28,147896.875,142666.6667,140589.9167,144523.25,152310.6667,162666.6667,171848.3333,178523.3333,183341.1667,187144.625
CT,Connecticut,29,291445.8333,276850,266633.3333,270883.25,273175,278866.6667,293775,307275,316415.8333,317450
IA,Iowa,30,141570.8333,134062.5,132300,133037.5,137683.3333,149388.9583,157779.1667,168470.8333,176075,174325
MS,Mississippi,31,154716.6667,151708.3333,149450,151749.9167,156779.1667,161954.1667,164891.6667,175650,181641.6667,182675
AR,Arkansas,32,149400,143875,147166.6667,144337.5,143704.1667,151350,156041.6667,162429.8333,173187.5,175000
KS,Kansas,33,148191.6667,141866.6667,136156.25,132912.5,139712.5,153404.1667,156262.5,167950.3333,182907.5,182725
UT,Utah,34,217690.8333,198157.375,207959.3333,229928.25,246645.3333,277912.5,300249.1667,326604.1667,350490,363747.5
NV,Nevada,35,157192.75,135634.5833,144516.6667,175858.3333,208597.9583,233603.3333,253174.3333,285565.3333,312547.25,314723.5
NM,New Mexico,36,223636.7917,203120.6667,197808.3333,200683.3333,203961.125,210650,214208.3333,219091.4167,224324.6667,227462.25
WV,West Virginia,37,150185.4167,144914.6667,139888.5417,143508.3333,148891.6667,152000,154483.125,152916.6667,157112.8333,161725
NE,Nebraska,38,137322.9167,132752.0833,131927.0833,136787.5,145154.1667,161112.2917,174966.6667,194225,210081.25,209968.75
ID,Idaho,39,171791.6667,164950,172478.6667,185264.5833,191890.4167,216442.3333,240740.8333,267492.8333,297853.0417,309883.25
HI,Hawaii,40,496500,446814.5833,437066.6667,482815.75,512241.6667,535583.3333,576158.3333,600225,618549.9583,634737.5
ME,Maine,41,204916.6667,199304.1667,197116.6667,194700,197191.5417,200758.3333,211758.3333,223954.125,237604.1667,241975
NH,New Hampshire,42,245283.4167,232300,225125,231950,237345.8333,245733.3333,257524.9583,276425,293541.6667,301750
RI,Rhode Island,43,264191.6667,236716.6667,236258.3333,247341.6667,254816.6667,262592.0417,273258.3333,290075,300395.8333,306450
MT,Montana,44,259275,246941.6667,237687.5,261187.5,272675,289875.8333,293175,299127.0833,319520.8333,325250
DE,Delaware,45,239416.6667,230073.5417,229757.0833,245206.6667,256381.0417,262795.4167,270702.5,274681.6667,284934.4167,288222.5
SD,South Dakota,46,169245.8333,162766.5833,160583.3333,166600,173666.6667,186207.25,199429.0417,211302.0833,224002.0833,221750
AK,Alaska,47,256162.5,247275,239820.8333,244804.1667,248025.4167,260545.8333,275495.8333,272724.0833,279583.3333,283700
ND,North Dakota,48,,,,,,,,230610,228317.25,223750
VT,Vermont,49,248937.5,241795.8333,235179.1667,232104.1667,232679.1667,230583.3333,237529.1667,244991.6667,261745.8333,274975
DC,District of Columbia,50,349993.8333,360325.4167,405915.8333,444069.9583,448793.9583,476520,540850,552570.8333,577070.8333,587425
WY,Wyoming,51,212975,214429.1667,218433.3333,219206.25,232750,238004.1667,239845,238954.1667,247012.5,247417.125
