State,State Full Name,Continental US,2011,2012,2013,2014,2015,2016,2017,2018
AK,Alaska,Yes,52,29,22,18,31,56,29,22
AL,Alabama,Yes,272,149,148,92,75,52,67,72
AR,Arkansas,Yes,143,157,136,141,71,63,109,101
AZ,Arizona,Yes,510,471,321,223,548,373,329,353
CA,California,Yes,10094,10099,8009,7639,7002,5600,7621,7214
CO,Colorado,Yes,693,712,233,225,306,275,335,416
CT,Connecticut,Yes,47,47,74,74,41,43,14,13
DC,District of Columbia,Yes,25,65,64,31,42,28,35,60
DE,Delaware,Yes,2,2,3,4,5,4,6,3
FL,Florida,Yes,3368,3130,3177,2128,1554,1077,996,961
GA,Georgia,Yes,1218,1203,905,796,682,474,246,276
HI,Hawaii,Yes,295,277,324,346,417,406,378,292
IA,Iowa,Yes,12,12,9,25,32,16,18,19
ID,Idaho,Yes,81,76,46,80,75,65,69,69
IL,Illinois,Yes,316,334,385,321,457,236,289,230
IN,Indiana,Yes,76,140,77,38,64,49,46,48
KS,Kansas,Yes,42,44,30,37,35,31,40,28
KY,Kentucky,Yes,57,71,97,42,50,60,44,61
LA,Louisiana,Yes,507,449,192,105,42,37,54,44
MA,Massachusetts,Yes,58,55,49,30,32,34,45,51
MD,Maryland,Yes,119,104,110,99,128,119,96,104
ME,Maine,Yes,6,0,14,14,9,21,11,13
MI,Michigan,Yes,204,182,155,128,76,64,60,47
MN,Minnesota,Yes,78,66,63,54,44,31,37,51
MO,Missouri,Yes,225,185,176,89,110,81,89,92
MS,Mississippi,Yes,91,173,81,58,119,86,18,65
MT,Montana,Yes,116,176,191,162,179,73,80,73
NC,North Carolina,Yes,307,322,189,182,188,158,199,149
ND,North Dakota,Yes,3,16,181,34,47,53,16,0
NE,Nebraska,Yes,57,36,22,17,16,8,2,3
NH,New Hampshire,Yes,8,11,13,9,14,4,11,7
NJ,New Jersey,Yes,143,127,120,76,80,71,89,85
NM,New Mexico,Yes,143,143,60,60,64,64,113,113
NV,Nevada,Yes,548,538,313,490,344,414,340,193
NY,New York,Yes,519,591,458,457,131,92,58,40
OH,Ohio,Yes,196,210,162,134,110,85,77,55
OK,Oklahoma,Yes,55,105,99,135,98,98,114,107
OR,Oregon,Yes,819,798,785,590,695,738,668,763
PA,Pennsylvania,Yes,130,135,172,75,80,48,88,72
RI,Rhode Island,Yes,2,0,2,0,2,0,3,3
SC,South Carolina,Yes,223,223,291,304,211,286,159,95
SD,South Dakota,Yes,10,10,19,4,7,11,7,21
TN,Tennessee,Yes,233,312,263,222,189,177,142,186
TX,Texas,Yes,2526,2480,1871,1142,903,483,821,793
UT,Utah,Yes,35,33,37,24,24,24,17,17
VA,Virginia,Yes,163,154,94,85,91,76,94,85
VT,Vermont,Yes,6,16,17,9,6,13,5,8
WA,Washington,Yes,311,378,260,344,407,485,999,866
WI,Wisconsin,Yes,23,14,24,24,19,23,20,11
WV,West Virginia,Yes,66,49,37,30,78,17,13,25
WY,Wyoming,Yes,44,183,27,21,29,31,13,0
