,State,medianHousePrice2010,medianHousePrice2011,medianHousePrice2012,medianHousePrice2013,medianHousePrice2014,medianHousePrice2015,medianHousePrice2016,medianHousePrice2017
0,California,331354.1667,296987.5,308158.8333,390208.25,418516.6667,440640.6667,479724.9167,500381.4583
1,Texas,171324.5833,168918.6667,172219.1667,187101.3333,212438.3333,245033.0833,255709.75,268202.7917
2,New York,345016.5833,317552.0,306182.5,305825.0,324191.5833,330624.3333,340693.0417,352726.0417
3,Florida,187158.3333,175891.5833,179162.5,198024.1667,215341.6667,236499.0,259156.6667,279908.75
4,Illinois,204158.3333,176166.6667,159783.3333,164489.5833,180408.3333,192858.3333,202632.3333,215231.25
5,Pennsylvania,186962.5,178566.6667,171979.1667,172991.6667,177750.0,180691.6667,180399.75,192341.6667
6,Ohio,129175.0,123733.25,122783.25,124506.25,131191.6667,136029.1667,141320.8333,152181.4167
7,Michigan,122058.3333,110011.5,108195.75,122325.0,133141.6667,141116.6667,149641.6667,165650.0
8,Georgia,172933.3333,152761.6667,152765.75,173233.5833,184406.4167,194624.0,211796.75,232963.2917
9,North Carolina,197000.0,187466.6667,182217.9167,192153.75,198055.3333,212520.8333,227766.5833,246175.0
10,New Jersey,325875.0,295525.0,280168.8333,281826.4167,289824.9583,295667.6667,300379.1667,302757.3333
11,Virginia,240166.875,230958.3333,230990.7917,241237.5,256782.7083,270550.625,280651.25,293952.0
12,Washington,273058.3333,239009.5833,236966.6667,255928.0833,273311.6667,290845.8333,312245.8333,348058.7083
13,Massachusetts,327983.3333,310904.1667,317625.0,338033.3333,348766.6667,356058.3333,385591.6667,418345.8333
14,Indiana,129875.0,128825.0,125665.8333,128195.1667,134408.0417,138400.0,143195.8333,163323.3333
15,Arizona,166470.0,148883.3333,172225.0,206183.2917,227223.75,244189.1667,257174.1667,271341.5833
16,Tennessee,168254.1667,160058.3333,155800.8333,163841.6667,172091.6667,181600.0,195683.25,221166.6667
17,Missouri,147550.0,140120.8333,136108.3333,137522.8333,143001.6667,147433.3333,155233.3333,167291.6667
18,Maryland,253450.0,240069.9167,247496.4167,262514.25,273540.8333,273778.5833,285666.6667,302010.875
19,Wisconsin,175691.6667,165883.3333,154858.3333,159225.0,164258.3333,170958.3333,179800.0,191304.1667
20,Minnesota,183191.6667,162408.3333,163400.0,178633.3333,195108.3333,216691.6667,228133.3333,245800.0
21,Colorado,256375.0,246949.6667,256740.625,275447.5,308772.7917,344225.0,373600.7083,401741.1667
22,Alabama,166733.3333,159908.3333,159531.25,163575.0,169138.5417,172799.0833,177511.6667,189645.2083
23,South Carolina,183482.4167,171332.0833,169600.0,176540.9583,188075.625,202634.5417,220502.75,233463.5833
24,Louisiana,175150.0,164783.3333,161358.3333,168925.0,173304.1667,183282.8333,197541.6667,204673.5
25,Kentucky,148716.6667,144087.9167,141391.6667,139850.0,146983.3333,155104.1667,159164.1667,170027.6667
26,Oregon,246116.6667,226903.3333,223033.3333,248525.0,261283.3333,280349.9583,313854.125,347407.5
27,Oklahoma,147896.875,142666.6667,140589.9167,144523.25,152310.6667,162666.6667,171848.3333,178523.3333
28,Connecticut,291445.8333,276850.0,266633.3333,270883.25,273175.0,278866.6667,293775.0,307275.0
29,Iowa,141570.8333,134062.5,132300.0,133037.5,137683.3333,149388.9583,157779.1667,168470.8333
30,Mississippi,154716.6667,151708.3333,149450.0,151749.9167,156779.1667,161954.1667,164891.6667,175650.0
31,Arkansas,149400.0,143875.0,147166.6667,144337.5,143704.1667,151350.0,156041.6667,162429.8333
32,Kansas,148191.6667,141866.6667,136156.25,132912.5,139712.5,153404.1667,156262.5,167950.3333
33,Utah,217690.8333,198157.375,207959.3333,229928.25,246645.3333,277912.5,300249.1667,326604.1667
34,Nevada,157192.75,135634.5833,144516.6667,175858.3333,208597.9583,233603.3333,253174.3333,285565.3333
35,New Mexico,223636.7917,203120.6667,197808.3333,200683.3333,203961.125,210650.0,214208.3333,219091.4167
36,West Virginia,150185.4167,144914.6667,139888.5417,143508.3333,148891.6667,152000.0,154483.125,152916.6667
37,Nebraska,137322.9167,132752.0833,131927.0833,136787.5,145154.1667,161112.2917,174966.6667,194225.0
38,Idaho,171791.6667,164950.0,172478.6667,185264.5833,191890.4167,216442.3333,240740.8333,267492.8333
39,Hawaii,496500.0,446814.5833,437066.6667,482815.75,512241.6667,535583.3333,576158.3333,600225.0
40,Maine,204916.6667,199304.1667,197116.6667,194700.0,197191.5417,200758.3333,211758.3333,223954.125
41,New Hampshire,245283.4167,232300.0,225125.0,231950.0,237345.8333,245733.3333,257524.9583,276425.0
42,Rhode Island,264191.6667,236716.6667,236258.3333,247341.6667,254816.6667,262592.0417,273258.3333,290075.0
43,Montana,259275.0,246941.6667,237687.5,261187.5,272675.0,289875.8333,293175.0,299127.0833
44,Delaware,239416.6667,230073.5417,229757.0833,245206.6667,256381.0417,262795.4167,270702.5,274681.6667
45,South Dakota,169245.8333,162766.5833,160583.3333,166600.0,173666.6667,186207.25,199429.0417,211302.0833
46,Alaska,256162.5,247275.0,239820.8333,244804.1667,248025.4167,260545.8333,275495.8333,272724.0833
47,North Dakota,,,,,,,,230610.0
48,Vermont,248937.5,241795.8333,235179.1667,232104.1667,232679.1667,230583.3333,237529.1667,244991.6667
49,District of Columbia,349993.8333,360325.4167,405915.8333,444069.9583,448793.9583,476520.0,540850.0,552570.8333
50,Wyoming,212975.0,214429.1667,218433.3333,219206.25,232750.0,238004.1667,239845.0,238954.1667
